#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818411943774,0.00532632,0.00266316,-0.0149137,9.84975,-0.328006,0.0766145
1636273818414942586,0.000532632,-0.0015979,-0.0186421,9.84256,-0.3304,0.105345
1636273818415942033,0.00106526,0.00266316,-0.0218379,9.84017,-0.318429,0.129287
1636273818418978894,0.00213053,0.000532632,-0.0186421,9.79228,-0.378284,0.117316
1636273818420972913,0.0015979,0.0015979,-0.0213053,9.8258,-0.323217,0.129287
1636273818422971105,0.000532632,0.00213053,-0.0207727,9.83059,-0.35913,0.112527
1636273818424965724,0.00319579,0.000532632,-0.0191748,9.84496,-0.31364,0.059855
1636273818428000964,0.000532632,0.00426106,-0.0175769,9.82102,-0.354342,0.143652
1636273818430016139,0.00106526,0.00213053,-0.0191748,9.84256,-0.320823,0.126893
1636273818431016807,0.0015979,0.00372843,-0.0186421,9.83538,-0.371101,0.150835
1636273818434018093,0.0015979,0,-0.0133158,9.79468,-0.308852,0.143652
1636273818434998637,0.00426106,0.00266316,-0.0149137,9.81623,-0.387861,0.129287
1636273818437973900,0.00479369,0.000532632,-0.0165116,9.82102,-0.3304,0.146046
1636273818439942717,0.00532632,0.0015979,-0.0143811,9.82102,-0.363919,0.110133
1636273818441969159,0,-0.00266316,-0.0127832,9.76116,-0.373495,0.134075
1636273818444006772,-0.000532632,0.00372843,-0.0186421,9.81383,-0.323217,0.0790087
1636273818444946332,0.00213053,0.00479369,-0.0197074,9.83059,-0.301669,0.141258
1636273818447943110,0.00213053,-0.000532632,-0.0154463,9.85932,-0.328006,0.148441
1636273818449972736,-0.0015979,-0.00266316,-0.0234358,9.87129,-0.368707,0.138864
1636273818452980803,0.00266316,-0.00213053,-0.015979,9.84735,-0.349553,0.138864
1636273818453946493,0,-0.00213053,-0.0186421,9.8282,-0.380678,0.141258
1636273818456942831,0.00213053,0.00479369,-0.0197074,9.85693,-0.366313,0.167594
1636273818472942021,0.00532632,0.000532632,-0.0181095,9.83778,-0.328006,0.134075
1636273818478041744,0.00213053,0.00213053,-0.0207727,9.82102,-0.339977,0.0694318
1636273818480948128,-0.000532632,-0.00106526,-0.0191748,9.85214,-0.354342,0.129287
1636273818482947231,0.00266316,0.00479369,-0.0170442,9.89284,-0.368707,0.150835
